,FileName,xmin,ymin,xmax,ymax
174,150.tif,577,262,726,293
175,151.tif,228,82,455,160
176,151.tif,577,357,913,392
177,152.tif,444,478,621,582
178,153.tif,412,212,723,279
179,154.tif,499,589,818,656
180,155.tif,487,493,740,561
181,155.tif,786,448,910,499
182,156.tif,487,663,724,708
183,157.tif,570,490,792,528
184,158.tif,425,469,645,502
185,160.tif,445,409,555,455
186,161.tif,515,746,699,783
187,162.tif,582,652,738,692
188,163.tif,567,793,875,882
189,164.tif,571,224,752,285
190,165.tif,486,742,908,807
191,167.tif,211,742,365,794
192,167.tif,215,674,434,704
193,168.tif,601,376,913,416
194,169.tif,635,816,809,841
195,170.tif,495,523,780,579
196,171.tif,580,310,830,394
197,172.tif,224,643,424,688
198,173.tif,611,692,800,749
199,174.tif,52,523,485,595
200,175.tif,355,438,538,496
201,175.tif,576,413,883,475
202,176.tif,177,665,375,744
203,176.tif,545,522,822,595
204,176.tif,781,507,824,538
205,177.tif,540,487,750,535
206,178.tif,517,695,749,749
207,179.tif,175,629,502,704
208,180.tif,706,508,837,554
209,181.tif,530,480,707,514
210,182.tif,497,600,751,657
211,183.tif,544,566,760,603
212,184.tif,547,708,736,751
213,185.tif,548,796,815,894
214,186.tif,511,660,920,771
215,187.tif,618,448,908,488
216,187.tif,806,520,878,570
217,188.tif,447,734,671,785
218,189.tif,110,398,431,431
219,190.tif,613,682,765,720
220,191.tif,535,339,635,409
221,192.tif,550,699,840,760
222,193.tif,446,797,847,872
223,194.tif,523,679,627,751
224,195.tif,501,756,711,839
225,196.tif,108,642,253,678
226,197.tif,133,551,405,621
227,198.tif,579,581,807,621
228,199.tif,428,392,872,463
229,200.tif,531,213,716,302
230,201.tif,549,638,776,672
231,201.tif,626,793,986,897
232,202.tif,520,518,657,551
233,203.tif,499,415,657,464
234,204.tif,500,386,795,439
235,204.tif,539,421,725,479
236,205.tif,610,431,905,475
237,206.tif,124,543,314,582
238,207.tif,465,760,707,815
239,208.tif,151,727,491,808
240,209.tif,598,838,727,859
241,210.tif,547,501,776,533
242,211.tif,204,262,434,309
243,212.tif,483,740,831,873
244,213.tif,479,633,833,677
245,214.tif,537,642,846,702
246,215.tif,550,799,882,911
247,216.tif,547,526,770,570
248,217.tif,537,747,669,778
249,218.tif,471,539,718,592
250,219.tif,556,511,749,560
251,220.tif,609,432,786,472
252,221.tif,542,339,726,389
253,222.tif,657,421,911,523
254,223.tif,507,362,760,401
255,224.tif,492,635,766,678
256,225.tif,580,523,718,575
257,226.tif,138,476,473,547
258,227.tif,508,365,649,412
259,228.tif,156,728,515,820
260,229.tif,551,887,892,927
261,230.tif,489,706,693,752
262,231.tif,60,682,418,740
263,232.tif,141,526,427,586
264,233.tif,525,744,857,796
265,233.tif,591,783,749,834
266,234.tif,497,827,848,937
267,235.tif,462,684,681,738
268,236.tif,527,610,664,665
269,237.tif,449,595,707,646
270,238.tif,540,507,765,547
271,239.tif,150,738,416,779
272,239.tif,480,802,830,847
273,239.tif,492,842,788,911
274,240.tif,47,611,391,676
275,241.tif,597,554,827,596
276,242.tif,154,677,301,711
277,242.tif,604,664,789,702
278,243.tif,528,368,788,394
279,243.tif,506,395,780,482
280,243.tif,464,482,837,564
281,244.tif,487,813,733,849
282,244.tif,468,857,684,888
283,244.tif,479,908,791,937
284,245.tif,149,725,471,806
285,246.tif,442,605,675,648
286,247.tif,503,485,708,512
287,248.tif,624,538,765,570
288,248.tif,141,640,433,707
289,249.tif,650,698,863,758
290,250.tif,520,776,735,805
291,251.tif,450,658,715,719
292,252.tif,186,590,367,642
293,253.tif,172,230,506,292
294,254.tif,134,670,435,704
295,254.tif,165,706,348,740
296,255.tif,647,751,754,868
297,256.tif,588,704,756,737
298,257.tif,614,831,922,893
299,258.tif,516,619,765,685
300,259.tif,574,376,812,433
301,260.tif,158,667,316,722
302,261.tif,394,630,532,660
303,262.tif,513,603,774,701
304,263.tif,570,330,800,382
305,264.tif,129,803,314,861
306,265.tif,568,526,775,577
307,266.tif,593,837,787,858
308,267.tif,476,464,777,528
309,268.tif,355,507,542,585
310,268.tif,601,500,851,568
311,269.tif,492,783,854,903
312,270.tif,550,482,647,525
313,271.tif,508,836,733,879
314,271.tif,529,876,799,914
315,272.tif,158,838,347,882
316,273.tif,133,850,372,902
317,274.tif,681,544,794,586
318,275.tif,490,476,736,513
319,276.tif,524,737,728,770
320,277.tif,442,860,796,945
321,278.tif,60,641,304,691
322,279.tif,643,653,850,700
323,280.tif,473,709,718,806
324,281.tif,510,497,776,533
325,282.tif,553,554,635,599
326,283.tif,578,669,796,723
327,284.tif,85,564,356,612
328,285.tif,526,514,631,562
329,286.tif,450,597,794,649
330,286.tif,170,677,333,722
331,287.tif,440,580,585,612
332,288.tif,508,353,735,404
333,288.tif,152,575,354,613
334,289.tif,90,863,303,900
335,290.tif,508,537,732,586
336,291.tif,553,847,688,892
337,292.tif,530,234,831,328
338,293.tif,568,542,794,596
339,294.tif,470,814,553,843
340,295.tif,520,495,673,563
341,296.tif,139,572,478,649
342,296.tif,169,644,434,680
343,296.tif,169,702,412,737
344,296.tif,554,514,691,543
345,296.tif,528,583,860,628
346,296.tif,556,642,752,689
347,296.tif,562,701,717,741
348,297.tif,490,836,868,942
349,298.tif,606,751,807,791
350,299.tif,542,497,803,546
351,300.tif,446,649,708,719
352,301.tif,548,637,650,681
353,302.tif,489,489,660,529
354,302.tif,193,716,435,764
355,303.tif,410,547,638,619
356,304.tif,547,509,795,561
357,305.tif,555,539,776,579
358,306.tif,169,776,409,815
359,307.tif,245,320,418,353
360,307.tif,584,327,720,363
361,308.tif,629,561,774,596
362,309.tif,605,592,810,638
363,310.tif,496,685,750,744
364,311.tif,527,740,866,878
365,312.tif,115,766,396,834
366,313.tif,537,655,765,710
367,314.tif,478,796,727,854
368,315.tif,101,722,491,777
369,315.tif,127,616,393,676
370,316.tif,464,718,664,742
371,317.tif,450,520,848,570
372,318.tif,455,717,761,776
373,319.tif,571,581,922,644
374,320.tif,620,585,785,638
375,321.tif,548,606,787,645
376,322.tif,634,855,840,920
377,323.tif,466,884,738,933
378,324.tif,487,725,687,765
379,325.tif,596,835,727,857
380,326.tif,504,590,816,685
381,327.tif,688,788,791,818
382,328.tif,490,725,905,821
383,329.tif,542,667,858,763
384,330.tif,458,613,850,673
385,331.tif,101,792,330,862
386,332.tif,555,462,640,522
387,333.tif,467,806,689,878
388,334.tif,555,526,835,620
389,335.tif,437,641,710,704
390,335.tif,505,707,667,736
391,336.tif,539,482,769,528
392,337.tif,425,560,576,600
393,339.tif,114,24,241,55
394,340.tif,560,689,848,735
395,341.tif,107,589,280,624
396,342.tif,517,266,675,293
397,343.tif,482,764,684,804
398,345.tif,462,589,769,643
399,346.tif,166,807,288,836
400,347.tif,506,664,637,730
401,348.tif,642,880,906,913
402,349.tif,635,757,950,816
403,350.tif,558,572,758,603
404,351.tif,385,626,494,662
405,352.tif,504,472,818,529
406,353.tif,513,678,673,728
407,354.tif,486,612,689,650
408,355.tif,480,841,856,937
409,356.tif,298,578,480,640
410,356.tif,601,570,829,634
411,357.tif,479,690,713,731
412,358.tif,443,574,779,665
413,359.tif,122,778,275,827
414,360.tif,573,436,661,480
415,361.tif,459,438,780,506
416,362.tif,610,376,911,436
417,362.tif,148,712,366,752
418,363.tif,305,123,469,156
419,363.tif,634,123,871,171
420,364.tif,486,741,835,879
421,365.tif,131,767,305,807
422,368.tif,621,656,853,706
423,369.tif,531,549,766,607
424,370.tif,451,540,687,605
425,371.tif,536,567,758,603
426,372.tif,423,614,718,679
427,373.tif,146,688,367,737
428,374.tif,530,610,729,653
429,375.tif,622,495,846,547
430,376.tif,132,694,367,741
431,377.tif,492,704,645,801
432,378.tif,570,669,789,721
433,380.tif,127,661,380,721
434,381.tif,567,523,774,574
435,383.tif,525,501,607,546
436,384.tif,579,481,764,528
437,385.tif,576,582,722,636
438,386.tif,145,723,426,776
439,387.tif,146,581,406,650
440,388.tif,515,613,797,670
441,389.tif,90,565,437,643
442,389.tif,137,645,402,682
443,389.tif,134,703,399,739
444,389.tif,143,771,381,841
445,389.tif,529,494,663,527
446,389.tif,522,579,868,623
447,389.tif,536,645,817,697
448,389.tif,556,698,727,741
449,391.tif,575,715,814,753
450,392.tif,91,549,297,593
451,392.tif,114,641,385,703
452,392.tif,94,723,451,798
453,392.tif,65,776,447,865
454,392.tif,60,624,118,656
455,393.tif,535,679,852,780
456,394.tif,505,712,763,766
457,396.tif,157,431,428,481
458,397.tif,486,233,772,302
459,398.tif,537,628,675,659
460,399.tif,502,551,805,602
461,400.tif,165,717,357,789
462,401.tif,266,491,529,546
463,401.tif,618,755,888,796
464,402.tif,272,628,496,661
465,402.tif,354,662,475,690
466,403.tif,568,519,764,569
467,404.tif,484,689,738,750
468,405.tif,545,527,729,590
469,406.tif,595,567,734,612
470,407.tif,553,483,854,526
471,408.tif,542,713,709,758
472,409.tif,514,698,674,737
473,410.tif,385,621,537,646
474,411.tif,664,681,871,820
475,412.tif,486,457,590,495
476,413.tif,571,315,794,355
477,414.tif,698,426,938,465
478,415.tif,651,675,875,724
479,416.tif,474,500,739,546
480,417.tif,123,787,365,824
481,418.tif,370,455,559,509
482,418.tif,634,455,903,500
483,419.tif,583,603,697,640
484,420.tif,490,751,704,800
485,421.tif,429,683,593,753
486,422.tif,564,436,656,478
487,423.tif,503,477,708,530
488,424.tif,448,646,602,697
489,425.tif,319,368,535,414
490,425.tif,639,346,839,411
491,426.tif,121,496,411,560
492,427.tif,559,459,812,502
493,428.tif,453,608,671,641
494,429.tif,461,788,872,869
495,430.tif,613,472,834,573
496,431.tif,139,533,387,580
497,432.tif,603,673,834,720
498,433.tif,604,853,720,877
499,434.tif,52,307,210,348
500,435.tif,515,676,765,723
501,436.tif,479,492,696,539
502,437.tif,457,843,822,910
503,438.tif,535,229,787,297
504,439.tif,473,245,689,296
505,440.tif,591,214,836,277
506,441.tif,564,657,765,727
507,442.tif,515,515,718,563
508,443.tif,476,660,697,708
509,443.tif,186,664,394,721
510,443.tif,407,810,749,895
511,444.tif,504,480,630,510
512,445.tif,494,610,768,668
513,446.tif,158,430,398,469
514,446.tif,472,321,655,369
515,447.tif,643,432,740,466
516,448.tif,418,483,706,532
517,449.tif,524,305,803,356
518,450.tif,473,441,618,479
519,451.tif,529,414,693,481
520,452.tif,460,437,784,503
521,453.tif,484,442,659,501
522,454.tif,560,692,812,728
523,455.tif,558,696,867,792
524,456.tif,518,284,637,361
525,457.tif,512,367,773,397
526,457.tif,491,395,766,480
527,457.tif,445,476,823,559
528,458.tif,487,535,678,583
529,459.tif,520,500,660,560
530,460.tif,69,693,398,776
531,461.tif,414,627,723,686
532,462.tif,144,712,364,766
533,463.tif,493,462,778,555
534,464.tif,515,594,825,678
535,465.tif,491,613,740,653
536,466.tif,460,714,758,777
537,467.tif,613,576,755,626
538,468.tif,622,616,866,666
539,469.tif,579,576,843,613
540,470.tif,468,514,741,565
541,470.tif,445,79,556,230
542,471.tif,575,702,729,740
543,472.tif,123,564,373,618
544,473.tif,619,613,787,668
545,474.tif,504,221,872,292
546,475.tif,500,634,764,683
547,476.tif,97,794,407,868
548,477.tif,551,772,783,813
549,478.tif,656,459,823,496
550,479.tif,556,280,809,353
551,479.tif,250,417,551,480
552,480.tif,642,490,821,518
553,481.tif,618,615,869,672
554,482.tif,180,741,358,784
555,483.tif,508,345,813,393
556,484.tif,456,570,707,664
557,485.tif,505,783,832,846
558,486.tif,561,467,812,518
559,487.tif,126,637,405,683
560,488.tif,530,553,840,646
561,489.tif,464,617,784,659
562,490.tif,522,583,854,630
563,491.tif,537,525,756,616
564,492.tif,474,747,718,784
565,493.tif,459,701,736,773
566,493.tif,35,708,385,754
567,494.tif,605,853,707,903
568,494.tif,127,20,268,61
569,495.tif,385,558,743,606
570,496.tif,486,464,801,528
571,497.tif,557,626,750,688
572,498.tif,164,594,510,650
573,499.tif,536,688,757,716
574,500.tif,192,549,493,666
575,501.tif,630,739,809,827
576,502.tif,624,591,712,676
577,503.tif,494,743,615,780
578,503.tif,82,900,245,950
579,504.tif,101,669,316,721
580,505.tif,567,743,843,793
581,506.tif,536,429,676,466
582,507.tif,516,798,908,934
583,508.tif,165,717,360,785
584,509.tif,144,684,370,720
585,510.tif,117,572,325,613
586,510.tif,131,648,330,699
587,510.tif,525,448,867,495
588,511.tif,141,560,475,640
589,511.tif,199,701,440,732
590,511.tif,192,762,419,841
591,511.tif,531,502,682,532
592,511.tif,522,572,842,615
593,511.tif,547,636,782,683
594,511.tif,552,690,735,732
595,512.tif,504,312,800,361
596,513.tif,516,693,686,746
597,514.tif,534,640,715,704
598,515.tif,493,476,640,541
599,516.tif,142,556,406,614
600,518.tif,562,677,867,715
601,519.tif,545,470,851,513
602,520.tif,530,355,762,394
603,521.tif,548,702,869,806
604,522.tif,57,794,281,864
605,522.tif,708,633,796,659
606,523.tif,599,522,750,588
607,524.tif,331,451,548,493
608,524.tif,608,441,899,501
609,525.tif,588,194,733,234
610,526.tif,192,726,447,760
611,527.tif,135,839,280,891
612,528.tif,533,626,810,694
613,529.tif,510,483,816,537
614,531.tif,540,609,758,663
615,532.tif,158,727,483,808
616,533.tif,575,551,805,592
617,534.tif,511,576,787,635
618,535.tif,545,765,745,813
619,536.tif,588,602,715,646
620,537.tif,573,534,792,596
621,538.tif,645,606,813,661
622,539.tif,518,713,675,739
623,540.tif,121,721,243,750
624,541.tif,525,294,780,343
625,542.tif,583,614,686,702
626,543.tif,451,667,731,724
627,544.tif,464,647,749,697
628,545.tif,509,130,726,172
629,545.tif,499,191,719,247
630,545.tif,516,285,838,328
631,546.tif,448,572,737,628
632,547.tif,511,738,753,783
633,548.tif,471,492,723,532
634,549.tif,473,442,618,479
635,550.tif,558,792,869,832
636,551.tif,413,187,559,217
637,551.tif,281,298,419,320
638,552.tif,559,655,774,721
639,553.tif,709,569,908,657
640,554.tif,172,467,482,528
641,555.tif,504,594,771,651
642,557.tif,522,568,867,622
643,558.tif,607,697,762,784
644,559.tif,408,705,721,758
645,560.tif,715,532,811,566
646,561.tif,472,639,780,685
647,561.tif,594,749,828,804
648,562.tif,533,619,720,674
649,563.tif,538,495,666,540
650,564.tif,560,428,804,478
651,565.tif,510,486,752,556
652,566.tif,454,690,660,728
653,567.tif,486,609,671,645
654,567.tif,494,682,662,721
655,568.tif,507,825,895,964
656,569.tif,167,720,487,805
657,570.tif,560,784,839,854
658,571.tif,474,341,673,383
659,572.tif,547,689,756,740
660,573.tif,450,585,705,637
661,574.tif,101,601,335,639
662,575.tif,482,539,741,584
663,576.tif,18,672,407,709
664,576.tif,468,655,713,732
665,577.tif,517,653,855,708
666,578.tif,542,654,833,717
667,579.tif,595,570,733,613
668,580.tif,431,664,740,716
669,580.tif,460,598,590,650
670,581.tif,474,714,711,747
671,582.tif,572,826,769,855
672,583.tif,459,300,712,365
673,584.tif,719,634,835,673
674,585.tif,511,633,697,684
675,586.tif,550,240,807,350
676,587.tif,620,756,805,830
677,588.tif,138,569,356,617
678,588.tif,637,618,923,688
679,589.tif,465,540,768,587
680,590.tif,169,729,468,803
681,591.tif,468,519,641,570
682,592.tif,512,785,780,864
683,593.tif,511,549,765,581
684,594.tif,567,575,805,628
685,595.tif,472,343,830,411
686,596.tif,134,781,358,860
687,597.tif,425,574,708,637
688,598.tif,508,492,590,525
689,599.tif,485,585,614,682
690,600.tif,194,364,420,393
691,601.tif,423,610,784,657
692,602.tif,140,669,241,710
693,603.tif,495,725,691,772
694,604.tif,517,551,785,627
695,605.tif,539,660,740,722
696,606.tif,464,380,607,442
697,607.tif,431,585,670,664
698,608.tif,396,665,798,708
699,609.tif,589,592,811,649
700,610.tif,207,482,463,540
701,611.tif,705,576,783,603
702,612.tif,536,631,823,680
703,614.tif,484,782,697,830
704,615.tif,162,814,461,850
705,615.tif,475,859,813,910
706,615.tif,474,890,766,944
707,616.tif,541,501,728,552
708,617.tif,484,693,681,734
709,618.tif,187,440,482,515
710,619.tif,515,606,837,651
711,620.tif,459,801,859,877
712,621.tif,515,503,599,535
713,622.tif,547,615,800,674
714,623.tif,531,198,603,271
715,624.tif,549,527,733,590
716,625.tif,493,593,705,637
717,626.tif,538,320,696,378
718,627.tif,419,555,645,623
719,628.tif,642,575,750,623
720,629.tif,479,782,669,820
721,630.tif,472,798,891,884
722,631.tif,499,660,618,692
723,632.tif,167,728,489,817
724,633.tif,512,203,814,269
725,633.tif,315,280,465,351
726,634.tif,255,107,523,163
727,634.tif,620,364,915,404
728,635.tif,789,486,915,540
729,635.tif,498,577,751,645
730,636.tif,640,530,803,573
731,637.tif,621,912,941,940
732,638.tif,626,570,895,621
733,639.tif,489,588,799,636
734,640.tif,596,765,721,810
735,641.tif,501,757,716,807
736,643.tif,144,600,347,651
737,644.tif,466,696,796,846
738,645.tif,531,756,735,815
739,646.tif,451,435,730,529
740,647.tif,485,489,865,635
741,648.tif,544,391,864,439
742,649.tif,545,561,792,603
743,650.tif,138,680,417,730
744,651.tif,497,631,745,697
745,652.tif,102,523,367,575
746,653.tif,553,610,878,660
747,654.tif,475,526,646,570
748,655.tif,585,516,767,565
749,656.tif,580,670,805,735
750,657.tif,549,458,794,510
751,658.tif,647,610,801,644
752,658.tif,297,614,432,715
753,659.tif,470,605,825,649
754,660.tif,195,197,503,236
755,660.tif,566,195,970,244
756,661.tif,37,561,465,602
757,661.tif,493,543,738,620
758,662.tif,158,703,327,764
759,663.tif,517,459,646,536
760,664.tif,452,731,781,788
761,665.tif,316,384,650,467
762,666.tif,526,568,869,619
763,667.tif,535,616,721,667
764,667.tif,698,728,799,780
765,668.tif,634,619,877,659
766,669.tif,587,618,855,663
767,670.tif,415,928,722,970
768,671.tif,420,453,695,507
769,672.tif,497,455,776,508
770,672.tif,98,855,210,914
771,673.tif,526,286,637,356
772,674.tif,545,639,842,685
773,675.tif,182,689,391,780
774,676.tif,502,584,745,630
775,677.tif,621,500,768,550
776,678.tif,589,701,906,760
777,679.tif,500,733,747,796
778,679.tif,781,427,904,484
